Date,Close,Open,High,Low,Volumn,Percent Change
12/9/2022,"1,275.60","1,281.62","1,285.17","1,275.45",100037700,0.00%
9/9/2022,"1,275.64","1,273.37","1,275.64","1,259.35",161748700,0.80%
8/9/2022,"1,265.57","1,277.63","1,279.34","1,265.57",124239300,-0.27%
7/9/2022,"1,268.95","1,297.31","1,298.17","1,268.95",187243100,-2.32%
6/9/2022,"1,299.06","1,298.74","1,305.90","1,296.58",121911600,0.07%
5/9/2022,"1,298.15","1,300.50","1,305.62","1,294.44",110009200,-0.25%
31/08/2022,"1,301.44","1,295.71","1,306.45","1,294.34",103562800,0.25%
30/08/2022,"1,298.14","1,293.41","1,307.12","1,293.41",112858600,0.38%
29/08/2022,"1,293.25","1,296.03","1,296.03","1,275.40",174325400,-1.04%
26/08/2022,"1,306.81","1,314.73","1,320.16","1,304.68",152914600,-0.36%
25/08/2022,"1,311.55","1,299.26","1,311.55","1,299.26",127468800,1.17%
24/08/2022,"1,296.41","1,295.07","1,300.40","1,291.96",113650300,0.34%
23/08/2022,"1,292.00","1,276.09","1,292.00","1,275.57",130485700,0.51%
22/08/2022,"1,285.45","1,294.78","1,295.69","1,281.96",128864900,-0.73%
19/08/2022,"1,294.93","1,297.97","1,303.73","1,289.57",154225000,-0.38%
18/08/2022,"1,299.93","1,299.09","1,311.73","1,295.54",162054000,-0.04%
17/08/2022,"1,300.40","1,297.25","1,304.49","1,296.58",146611100,0.41%
16/08/2022,"1,295.10","1,293.72","1,297.38","1,290.52",155261200,0.10%
15/08/2022,"1,293.79","1,287.13","1,294.11","1,285.02",149048700,1.00%
12/8/2022,"1,280.96","1,271.39","1,280.96","1,267.14",113933600,0.68%
11/8/2022,"1,272.33","1,282.09","1,289.29","1,267.04",175275100,-0.38%
10/8/2022,"1,277.15","1,279.58","1,283.06","1,276.07",117050500,-0.33%
9/8/2022,"1,281.44","1,281.38","1,285.52","1,275.12",161794800,0.37%
8/8/2022,"1,276.70","1,270.27","1,280.13","1,270.13",141948100,0.36%
5/8/2022,"1,272.06","1,274.48","1,276.19","1,265.93",172672400,-0.44%
4/8/2022,"1,277.73","1,273.71","1,281.46","1,270.66",164088200,0.62%
3/8/2022,"1,269.83","1,259.26","1,271.39","1,256.39",184352300,0.30%
2/8/2022,"1,265.97","1,256.32","1,266.14","1,248.97",172175300,0.77%
1/8/2022,"1,256.25","1,233.85","1,256.25","1,233.64",175842500,1.97%
29/07/2022,"1,232.00","1,243.17","1,243.17","1,232.00",142294000,-0.33%
28/07/2022,"1,236.14","1,228.73","1,240.65","1,226.95",180062100,1.37%
27/07/2022,"1,219.43","1,218.13","1,219.43","1,211.42",95584100,0.08%
26/07/2022,"1,218.49","1,221.43","1,227.10","1,218.11",93438000,-0.34%
25/07/2022,"1,222.60","1,228.11","1,231.84","1,219.61",94341400,-0.51%
22/07/2022,"1,228.84","1,238.46","1,241.65","1,228.84",106142000,-0.52%
21/07/2022,"1,235.25","1,227.31","1,240.91","1,226.88",127715400,0.79%
20/07/2022,"1,225.62","1,220.25","1,229.62","1,217.45",123377500,1.15%
19/07/2022,"1,211.70","1,213.55","1,213.64","1,204.61",66161600,-0.21%
18/07/2022,"1,214.28","1,225.40","1,225.69","1,213.28",104038500,-0.48%
15/07/2022,"1,220.14","1,224.15","1,228.48","1,217.21",147665700,-0.15%
